bigram;freq;percentile_100;freq10;freq20;freq30_50
ox;19114;6,31;;;
oy;3896;5,7;;;
oz;58758;6,75;;;
pa;2283155;9,6;HF;HF;HF
pb;0;0;LF;LF;LF
pc;4036;5,73;;;
pd;0;0;LF;LF;LF
pe;1579402;9,33;HF;HF;HF
pf;1;3,25;;;LF
pg;46;3,83;;;LF
ph;11;3,55;;;LF
pi;236001;7,76;;;HF
pj;0;0;LF;LF;LF
pk;0;0;LF;LF;LF
pl;165037;7,48;;;HF
pm;0;0;LF;LF;LF
pn;3040;5,61;;;
po;2394252;9,62;HF;HF;HF
pp;2810;5,51;;;
pq;0;0;LF;LF;LF
pr;1351750;9,18;HF;HF;HF
ps;13092;6,2;;;
pt;56028;6,72;;;
pu;126528;7,17;;;HF
pv;0;0;LF;LF;LF
pw;0;0;LF;LF;LF
px;0;0;LF;LF;LF
py;34;3,76;;;LF
pz;0;0;LF;LF;LF
qa;0;0;LF;LF;LF
qb;0;0;LF;LF;LF
qc;0;0;LF;LF;LF
qd;0;0;LF;LF;LF
qe;0;0;LF;LF;LF
qf;0;0;LF;LF;LF
qg;0;0;LF;LF;LF
qh;0;0;LF;LF;LF
qi;243;4,5;;;LF
qj;0;0;LF;LF;LF
qk;0;0;LF;LF;LF
ql;0;0;LF;LF;LF
qm;0;0;LF;LF;LF
qn;0;0;LF;LF;LF
qo;0;0;LF;LF;LF
qp;0;0;LF;LF;LF
qq;0;0;LF;LF;LF
qr;0;0;LF;LF;LF
qs;0;0;LF;LF;LF
qt;0;0;LF;LF;LF
qu;5388608;9,98;HF;HF;HF
qv;0;0;LF;LF;LF
qw;0;0;LF;LF;LF
qx;0;0;LF;LF;LF
qy;0;0;LF;LF;LF
qz;0;0;LF;LF;LF
ra;4430593;9,89;HF;HF;HF
rb;20906;6,32;;;
rc;179000;7,55;;;HF
rd;438955;8,11;;HF;HF
re;3036711;9,7;HF;HF;HF
rf;33845;6,54;;;
rg;167286;7,51;;;HF
rh;8;3,45;;;LF
ri;1568478;9,28;HF;HF;HF
rj;2982;5,58;;;
rk;816;5;;;LF
rl;4564;5,8;;;
rm;413462;8,04;;HF;HF
rn;131177;7,22;;;HF
ro;1737460;9,37;HF;HF;HF
rp;50998;6,66;;;
rq;233158;7,73;;;HF
rr;566641;8,41;;HF;HF
rs;81938;6,87;;;
rt;828361;8,77;;HF;HF
ru;163378;7,46;;;HF
rv;92073;6,96;;;
rw;127;4,26;;;LF
rx;87;4,04;;;LF
ry;1213;5,14;;;
rz;1181;5,12;;;
sa;2094497;9,54;HF;HF;HF
sb;4278;5,74;;;
sc;507536;8,26;;HF;HF
sd;35452;6,56;;;
se;3240003;9,79;HF;HF;HF
sf;41363;6,57;;;
sg;14678;6,25;;;
sh;11190;6,14;;;
si;1098291;9,02;HF;HF;HF
sj;107;4,14;;;LF
sk;3026;5,6;;;
sl;15652;6,28;;;
sm;198976;7,67;;;HF
sn;4537;5,79;;;
so;1801361;9,39;HF;HF;HF
sp;478025;8,22;;HF;HF
sq;77925;6,84;;;
sr;1400;5,22;;;
ss;2107780;9,57;HF;HF;HF
st;3518661;9,82;HF;HF;HF
su;465621;8,19;;HF;HF
sv;5565;5,88;;;
sw;460;4,82;;;LF
sx;0;0;LF;LF;LF
sy;277;4,6;;;LF
sz;0;0;LF;LF;LF
ta;3062740;9,71;HF;HF;HF
tb;340;4,69;;;LF
tc;5362;5,85;;;
td;65;3,94;;;LF
te;4526108;9,94;HF;HF;HF
tf;94;4,08;;;LF
tg;20;3,65;;;LF
th;325;4,65;;;LF
ti;1286713;9,12;HF;HF;HF
tj;0;0;LF;LF;LF
tk;0;0;LF;LF;LF
tl;2344;5,45;;;
tm;4410;5,77;;;
tn;686;4,93;;;LF
to;2917554;9,68;HF;HF;HF
tp;7;3,4;;;LF
tq;0;0;LF;LF;LF
tr;1279689;9,09;HF;HF;HF
ts;3305;5,64;;;
tt;1360;5,18;;;
tu;736654;8,62;;HF;HF
tv;9;3,49;;;LF
tw;1123;5,11;;;
tx;0;0;LF;LF;LF
ty;116;4,22;;;LF
tz;244;4,51;;;LF
ua;977147;8,88;;HF;HF
ub;102158;7,09;;;HF
uc;137247;7,25;;;HF
ud;420742;8,07;;HF;HF
ue;4455169;9,91;HF;HF;HF
uf;29013;6,45;;;
ug;96636;7;;;HF
uh;8293;6;;;
ui;1077052;8,99;;HF;HF
uj;13781;6,23;;;
uk;86;4,02;;;LF
ul;411736;8,02;;HF;HF
um;2067568;9,51;HF;HF;HF
un;674914;8,5;;HF;HF
uo;11986;6,16;;;
up;162532;7,45;;;HF
uq;9724;6,08;;;
ur;453423;8,14;;HF;HF
us;532455;8,31;;HF;HF
ut;402123;8,01;;HF;HF
uu;0;0;LF;LF;LF
uv;129743;7,2;;;HF
uw;3;3,31;;;LF
ux;30788;6,48;;;
uy;0;0;LF;LF;LF
uz;50795;6,65;;;
va;1318471;9,17;HF;HF;HF
vb;0;0;LF;LF;LF
vc;0;0;LF;LF;LF
vd;0;0;LF;LF;LF
ve;1577744;9,31;HF;HF;HF
vf;0;0;LF;LF;LF
vg;0;0;LF;LF;LF
vh;0;0;LF;LF;LF
vi;898037;8,81;;HF;HF
vj;0;0;LF;LF;LF
vk;0;0;LF;LF;LF
vl;6;3,37;;;LF
vm;0;0;LF;LF;LF
vn;213;4,47;;;LF
vo;1256401;9,06;HF;HF;HF
