bigram;freq;percentile_100;freq10;freq20;freq30_50
ut;25718578;88;;HF;HF
uu;27449;31;;;LF
uv;242774;55;;;
uw;11940;23;;;LF
ux;162410;51;;;
uy;29325;32;;;LF
uz;4426326;72;;;HF
va;27340260;88;;HF;HF
vb;10080;21;;;LF
vc;18806;27;;;LF
vd;70692;42;;;LF
ve;38247280;91;HF;HF;HF
vf;5241;13;;LF;LF
vg;10095;21;;;LF
vh;10003;21;;;LF
vi;33710323;90;HF;HF;HF
vj;1782;5;LF;LF;LF
vk;2840;7;LF;LF;LF
vl;20873;29;;;LF
vm;7376;17;;LF;LF
vn;5849;14;;LF;LF
vo;21871715;87;;HF;HF
vp;9826;21;;;LF
vq;1124;3;LF;LF;LF
vr;2054614;68;;;
vs;41664;36;;;LF
vt;9120;20;;LF;LF
vu;1726338;68;;;
vv;3788306;70;;;HF
vw;1456;4;LF;LF;LF
vx;5270;13;;LF;LF
vy;17130;27;;;LF
vz;883;3;LF;LF;LF
wa;754797;64;;;
wb;15404;26;;;LF
wc;11172;22;;;LF
wd;14242;25;;;LF
we;706574;64;;;
wf;30426;32;;;LF
wg;4978;13;;LF;LF
wh;101805;47;;;LF
wi;518521;62;;;
wj;;0;LF;LF;LF
wk;10135;21;;;LF
wl;28595;31;;;LF
wm;10858;22;;;LF
wn;125032;49;;;LF
wo;373573;60;;;
wp;6626;16;;LF;LF
wq;197;0;LF;LF;LF
wr;49094;38;;;LF
ws;300739;57;;;
wt;35457;34;;;LF
wu;11388;23;;;LF
wv;938;3;LF;LF;LF
ww;525903;62;;;
wx;1626;5;LF;LF;LF
wy;17228;27;;;LF
wz;430;1;LF;LF;LF
xa;77648;44;;;LF
xb;25074;30;;;LF
xc;52483;39;;;LF
xd;8093;18;;LF;LF
xe;146957;50;;;
xf;20852;29;;;LF
xg;1266;4;LF;LF;LF
xh;6611;16;;LF;LF
xi;295881;57;;;
xj;594;1;LF;LF;LF
xk;16696;27;;;LF
xl;14771;26;;;LF
xm;20234;28;;;LF
xn;1845;5;LF;LF;LF
xo;25781;31;;;LF
xp;97018;46;;;LF
xq;502;1;LF;LF;LF
xr;5438;14;;LF;LF
xs;9288;20;;;LF
xt;273536;57;;;
xu;9209;20;;LF;LF
xv;85998;45;;;LF
xw;2991;8;LF;LF;LF
xx;327995;58;;;
xy;22353;30;;;LF
xz;801;2;LF;LF;LF
ya;253257;56;;;
yb;36404;35;;;LF
yc;50345;38;;;LF
yd;46008;37;;;LF
ye;150501;51;;;
yf;7743;18;;LF;LF
yg;11398;23;;;LF
yh;3418;9;LF;LF;LF
yi;25142;31;;;LF
yj;1335;4;LF;LF;LF
yk;8576;19;;LF;LF
yl;123874;48;;;LF
ym;71998;43;;;LF
yn;79853;44;;;LF
yo;318408;58;;;
yp;55959;40;;;LF
yq;530;1;LF;LF;LF
yr;81532;44;;;LF
ys;167194;52;;;
yt;70711;43;;;LF
yu;41944;36;;;LF
yv;7010;17;;LF;LF
yw;38282;35;;;LF
yx;3215;9;LF;LF;LF
yy;7056;17;;LF;LF
yz;6159;15;;LF;LF
za;20699477;86;;HF;HF
zb;11618;23;;;LF
zc;10087;21;;;LF
zd;7014;17;;LF;LF
ze;3896738;70;;;HF
zf;2376;7;LF;LF;LF
zg;3543;10;LF;LF;LF
zh;21300;29;;;LF
zi;54771062;94;HF;HF;HF
zj;1025;3;LF;LF;LF
zk;6315;15;;LF;LF
zl;14310;25;;;LF
zm;6265;15;;LF;LF
zn;11092;22;;;LF
zo;4028475;71;;;HF
zp;4544;12;;LF;LF
zq;2386;7;LF;LF;LF
zr;4487;12;;LF;LF
zs;12998;24;;;LF
zt;9009;20;;LF;LF
zu;279238;57;;;
zv;3437;10;LF;LF;LF
zw;3599;10;LF;LF;LF
zx;1607;5;LF;LF;LF
zy;19299;28;;;LF
zz;12668059;80;;HF;HF
