bigram;freq;percentile_100;freq10;freq20;freq30_50
np;9;2;;LF;LF
nq;415;5,8;;;
nr;240;5,2;;;
ns;9055;9,6;HF;HF;HF
nt;28872;10;HF;HF;HF
nu;952;6,4;;;
nv;945;6,4;;;
nw;1;0;LF;LF;LF
nx;13;2,4;;;LF
ny;95;4,2;;;LF
nz;89;4,1;;;LF
oa;143;4,7;;;LF
ob;1088;6,6;;;
oc;2352;7,7;;;HF
od;1087;6,6;;;
oe;213;5,1;;;
oë;8;1,9;;LF;LF
of;413;5,7;;;
og;2117;7,5;;;HF
oh;75;3,9;;;LF
oi;2693;7,9;;;HF
oj;47;3,4;;;LF
ok;46;3,4;;;LF
ol;4393;8,9;;HF;HF
om;4396;8,9;;HF;HF
on;20365;9,9;HF;HF;HF
oo;212;5;;;
op;2171;7,5;;;HF
oq;618;6,1;;;
or;6522;9,2;HF;HF;HF
os;2994;8,2;;HF;HF
ot;3379;8,4;;HF;HF
ou;9988;9,7;HF;HF;HF
ov;392;5,7;;;
ow;30;3;;;LF
ox;216;5,1;;;
oy;720;6,2;;;
oz;55;3,6;;;LF
pa;4657;8,9;;HF;HF
pc;5;1,5;;LF;LF
pe;3599;8,5;;HF;HF
pf;3;1,1;;LF;LF
ph;2344;7,7;;;HF
pi;2968;8,2;;HF;HF
pk;1;0;LF;LF;LF
pl;2620;7,9;;;HF
pm;1;0;LF;LF;LF
pn;63;3,8;;;LF
po;4235;8,8;;HF;HF
pp;1616;7,1;;;HF
pr;4542;8,9;;HF;HF
ps;373;5,6;;;
pt;991;6,5;;;
pu;1133;6,6;;;
pw;2;0,6;LF;LF;LF
py;120;4,4;;;LF
qs;1;0;LF;LF;LF
qu;7656;9,4;HF;HF;HF
ra;19342;9,9;HF;HF;HF
rb;852;6,3;;;
rc;1645;7,1;;;HF
rd;2451;7,8;;;HF
re;17697;9,9;HF;HF;HF
rf;278;5,4;;;
rg;1382;6,9;;;
rh;176;4,8;;;LF
ri;11333;9,7;HF;HF;HF
rj;23;2,8;;;LF
rk;34;3,1;;;LF
rl;456;5,9;;;
rm;1847;7,3;;;HF
rn;1419;6,9;;;
ro;9834;9,7;HF;HF;HF
