bigram;freq;percentile_100;freq10;freq20;freq30_50
vr;529;2,16;;;LF
vs;1778;3,58;;;LF
vt;261;1,42;;LF;LF
vu;11942;5,49;;;
vv;460;2,03;;;LF
vw;41;0,4;LF;LF;LF
vx;38;0,37;LF;LF;LF
vy;924;2,85;;;LF
vz;610;2,3;;;LF
wa;8043;5,17;;;
wb;733;2,51;;;LF
wc;272;1,44;;LF;LF
wd;192;1,12;;LF;LF
we;4560;4,68;;;LF
wf;154;0,96;LF;LF;LF
wg;72;0,65;LF;LF;LF
wh;361;1,66;;LF;LF
wi;3394;4,35;;;LF
wj;305;1,53;;LF;LF
wk;105;0,77;LF;LF;LF
wl;307;1,56;;LF;LF
wm;215;1,2;;LF;LF
wn;616;2,31;;;LF
wo;2783;4,13;;;LF
wp;143;0,9;LF;LF;LF
wq;60;0,6;LF;LF;LF
wr;239;1,32;;LF;LF
ws;929;2,86;;;LF
wt;201;1,15;;LF;LF
wu;145;0,92;LF;LF;LF
wv;56;0,54;LF;LF;LF
ww;1547;3,46;;;LF
wx;78;0,66;LF;LF;LF
wy;679;2,4;;;LF
wz;45;0,44;LF;LF;LF
xa;8114;5,21;;;
xb;226;1,24;;LF;LF
xc;9614;5,33;;;
xd;898;2,77;;;LF
xe;4901;4,72;;;LF
xf;396;1,79;;LF;LF
xg;365;1,69;;LF;LF
xh;1823;3,62;;;LF
xi;46040;6,5;;;
xj;292;1,47;;LF;LF
xk;23;0,25;LF;LF;LF
xl;396;1,79;;LF;LF
xm;979;2,91;;;LF
xn;244;1,33;;LF;LF
xo;3782;4,45;;;LF
xp;40947;6,38;;;
xq;480;2,06;;;LF
xr;410;1,88;;LF;LF
xs;807;2,63;;;LF
xt;24288;6,01;;;
xu;3698;4,42;;;LF
xv;933;2,88;;;LF
xw;23;0,25;LF;LF;LF
xx;1792;3,59;;;LF
xy;524;2,15;;;LF
xz;40;0,38;LF;LF;LF
ya;92433;7,2;;;HF
yb;8761;5,3;;;
yc;35947;6,27;;;
yd;43903;6,44;;;
ye;116623;7,6;;;HF
yf;8953;5,31;;;
yg;6243;4,93;;;LF
yh;9992;5,36;;;
yi;3126;4,27;;;LF
yj;4394;4,57;;;LF
yk;886;2,76;;;LF
yl;51310;6,55;;;
ym;23102;5,95;;;
yn;15959;5,72;;;
yo;58904;6,64;;;
yp;32937;6,18;;;
yq;18508;5,82;;;
yr;12888;5,55;;;
ys;38801;6,34;;;
yt;15257;5,69;;;
yu;30426;6,12;;;
yv;7155;5,05;;;
yw;913;2,82;;;LF
yx;188;1,11;;LF;LF
yy;3791;4,47;;;LF
yz;771;2,6;;;LF
za;166499;8,2;;HF;HF
zb;1413;3,35;;;LF
zc;10470;5,4;;;
zd;13643;5,63;;;
ze;18375;5,8;;;
zf;1156;3,09;;;LF
zg;4515;4,66;;;LF
zh;2048;3,81;;;LF
zi;6105;4,91;;;LF
zj;682;2,42;;;LF
zk;914;2,83;;;LF
zl;3389;4,33;;;LF
zm;5797;4,84;;;LF
zn;7180;5,06;;;
zo;58129;6,62;;;
zp;5172;4,73;;;LF
zq;8455;5,26;;;
zr;2350;3,95;;;LF
zs;4140;4,51;;;LF
zt;1888;3,65;;;LF
zu;6059;4,9;;;LF
zv;1282;3,25;;;LF
zw;103;0,75;LF;LF;LF
zx;13;0,1;LF;LF;LF
zy;4359;4,56;;;LF
zz;2282;3,89;;;LF
