bigram;freq;percentile_100;freq10;freq20;freq30_50
ih;17107;6,01;;;
ii;3126;4,32;;;LF
ij;341;2,95;;;LF
ik;169018;8,83;;HF;HF
il;498196;9,63;HF;HF;HF
im;60214;7,58;;;HF
in;1068267;9,94;HF;HF;HF
io;81319;7,99;;;HF
iö;1555;3,8;;;LF
ip;31635;6,65;;;
iq;211;2,61;;;LF
ir;82561;8,02;;HF;HF
is;314423;9,28;HF;HF;HF
it;393456;9,46;HF;HF;HF
iu;2047;4,03;;;LF
iv;119417;8,49;;HF;HF
iw;146;2,39;;;LF
ix;11207;5,56;;;
iy;117;2,19;;;LF
iz;2888;4,27;;;LF
ja;557787;9,68;HF;HF;HF
jä;95270;8,17;;HF;HF
jå;77;1,95;;LF;LF
jb;294;2,88;;;LF
jc;15;1,13;;LF;LF
jd;11609;5,58;;;
je;63729;7,64;;;HF
jé;148;2,4;;;LF
jf;234;2,72;;;LF
jg;250;2,76;;;LF
jh;73;1,89;;LF;LF
ji;1440;3,76;;;LF
jj;436;3,1;;;LF
jk;3588;4,48;;;LF
jl;11824;5,61;;;
jm;484;3,16;;;LF
jn;1521;3,79;;;LF
jo;82349;8,01;;HF;HF
jö;15651;5,93;;;
jp;958;3,56;;;LF
jq;2;0,22;LF;LF;LF
jr;153;2,41;;;LF
js;3957;4,55;;;LF
jt;3828;4,52;;;LF
ju;157458;8,78;;HF;HF
jv;217;2,65;;;LF
jw;4;0,57;LF;LF;LF
jy;140;2,32;;;LF
jz;2;0,22;LF;LF;LF
ka;660298;9,75;HF;HF;HF
kä;92301;8,13;;HF;HF
kå;6325;5,04;;;
kb;3862;4,54;;;LF
kc;766;3,45;;;LF
kd;3400;4,46;;;LF
ke;327615;9,32;HF;HF;HF
ké;191;2,5;;;LF
kf;4485;4,66;;;LF
kg;4571;4,67;;;LF
kh;5030;4,78;;;LF
ki;64668;7,65;;;HF
kj;4192;4,61;;;LF
kk;2633;4,2;;;LF
kl;156198;8,76;;HF;HF
km;4013;4,59;;;LF
kn;58074;7,47;;;HF
ko;305735;9,24;HF;HF;HF
kö;67800;7,68;;;HF
kp;4898;4,76;;;LF
kq;21;1,25;;LF;LF
kr;118537;8,48;;HF;HF
ks;79307;7,94;;;HF
kt;267643;9,21;HF;HF;HF
ku;114456;8,41;;HF;HF
kv;56159;7,44;;;HF
kw;43;1,63;;LF;LF
kx;3;0,42;LF;LF;LF
ky;17805;6,03;;;
kz;100;2,12;;;LF
la;564937;9,7;HF;HF;HF
lä;181546;8,86;;HF;HF
lå;59469;7,52;;;HF
lb;22688;6,26;;;
lc;733;3,44;;;LF
ld;136185;8,63;;HF;HF
le;415806;9,5;HF;HF;HF
lé;989;3,57;;;LF
lf;13578;5,81;;;
lg;20566;6,14;;;
lh;4681;4,69;;;LF
li;613943;9,71;HF;HF;HF
lj;70002;7,78;;;HF
lk;52292;7,34;;;HF
ll;890485;9,88;HF;HF;HF
lm;17890;6,05;;;
ln;26512;6,4;;;
lo;125704;8,55;;HF;HF
lö;43711;7,05;;;HF
lp;19016;6,09;;;
lq;4;0,57;LF;LF;LF
lr;10668;5,53;;;
ls;116671;8,44;;HF;HF
lt;181235;8,85;;HF;HF
lu;83618;8,04;;HF;HF
lv;60026;7,57;;;HF
lw;636;3,37;;;LF
lx;6;0,77;LF;LF;LF
ly;56428;7,45;;;HF
lz;49;1,71;;LF;LF
ma;409478;9,49;HF;HF;HF
mä;45764;7,1;;;HF
må;102328;8,27;;HF;HF
mb;22125;6,25;;;
mc;197;2,58;;;LF
md;8145;5,23;;;
me;669201;9,77;HF;HF;HF
mé;541;3,24;;;LF
mf;13009;5,72;;;
mg;6933;5,11;;;
mh;10175;5,45;;;
mi;351395;9,38;HF;HF;HF
mj;10659;5,52;;;
mk;6337;5,05;;;
ml;31439;6,63;;;
mm;251643;9,15;HF;HF;HF
mn;38195;6,89;;;
mo;115206;8,43;;HF;HF
mö;39121;6,91;;;
mp;45598;7,07;;;HF
mq;6;0,77;LF;LF;LF
mr;10224;5,46;;;
ms;28345;6,54;;;
mt;49460;7,26;;;HF
mu;23601;6,32;;;
mv;2756;4,22;;;LF
mw;94;2,06;;;LF
mx;2;0,22;LF;LF;LF
my;73414;7,85;;;HF
mz;8;0,88;LF;LF;LF
na;562362;9,69;HF;HF;HF
nä;130861;8,57;;HF;HF
nå;101905;8,25;;HF;HF
nb;13040;5,75;;;
nc;20851;6,17;;;
nd;486260;9,6;HF;HF;HF
ne;269236;9,22;HF;HF;HF
né;242;2,73;;;LF
nf;28192;6,5;;;
ng;523622;9,64;HF;HF;HF
nh;13142;5,77;;;
ni;253973;9,17;HF;HF;HF
nj;12202;5,64;;;
nk;95468;8,18;;HF;HF
nl;49238;7,25;;;HF
nm;6282;5,03;;;
nn;319981;9,29;HF;HF;HF
no;106647;8,31;;HF;HF
nö;19740;6,13;;;
np;6151;5,01;;;
nq;34;1,56;;LF;LF
nr;8166;5,24;;;
ns;337862;9,35;HF;HF;HF
nt;467703;9,59;HF;HF;HF
nu;107153;8,34;;HF;HF
nv;27545;6,46;;;
nw;194;2,54;;;LF
nx;64;1,79;;LF;LF
ny;73622;7,86;;;HF
nz;358;3,01;;;LF
oa;10657;5,51;;;
oä;1857;3,92;;;LF
oå;192;2,51;;;LF
öa;1343;3,72;;;LF
öä;34;1,56;;LF;LF
öå;4;0,57;LF;LF;LF
ob;58001;7,46;;;HF
öb;2201;4,07;;;LF
oc;781842;9,83;HF;HF;HF
öc;4265;4,63;;;LF
od;71516;7,81;;;HF
öd;29838;6,61;;;
oe;7756;5,18;;;
oé;1;0;LF;LF;LF
öe;831;3,5;;;LF
of;49610;7,27;;;HF
öf;1806;3,9;;;LF
og;98649;8,23;;HF;HF
ög;27844;6,48;;;
oh;4868;4,74;;;LF
öh;284;2,82;;;LF
oi;5566;4,9;;;LF
öi;172;2,46;;;LF
oj;10499;5,49;;;
öj;28764;6,56;;;
ok;54137;7,38;;;HF
ök;45721;7,09;;;HF
ol;166918;8,8;;HF;HF
öl;26495;6,39;;;
om;788745;9,84;HF;HF;HF
öm;20668;6,16;;;
on;326600;9,31;HF;HF;HF
ön;47076;7,18;;;HF
oo;23156;6,27;;;
oö;246;2,74;;;LF
öo;214;2,62;;;LF
öö;1254;3,7;;;LF
op;97610;8,22;;HF;HF
öp;33905;6,75;;;
oq;25;1,34;;LF;LF
or;457716;9,56;HF;HF;HF
ör;627449;9,73;HF;HF;HF
os;114836;8,42;;HF;HF
ös;31654;6,67;;;
ot;170129;8,84;;HF;HF
öt;46416;7,12;;;HF
ou;37824;6,85;;;
öu;30;1,5;;LF;LF
ov;55238;7,4;;;HF
öv;85231;8,06;;HF;HF
ow;15090;5,92;;;
öw;7;0,81;LF;LF;LF
ox;5792;4,97;;;LF
öx;2;0,22;LF;LF;LF
oy;1306;3,71;;;LF
öy;17;1,16;;LF;LF
oz;641;3,38;;;LF
öz;1;0;LF;LF;LF
pa;188112;8,9;;HF;HF
pä;9619;5,39;;;
på;418590;9,52;HF;HF;HF
pb;1978;3,99;;;LF
pc;1189;3,65;;;LF
pd;4872;4,75;;;LF
pe;160332;8,79;;HF;HF
pé;124;2,21;;;LF
pf;5097;4,8;;;LF
pg;6495;5,07;;;
ph;4233;4,62;;;LF
pi;41282;6,95;;;
pj;695;3,43;;;LF
pk;1236;3,69;;;LF
pl;76671;7,9;;;HF
pm;3473;4,47;;;LF
pn;14016;5,85;;;
po;63709;7,62;;;HF
pö;1362;3,73;;;LF
pp;231445;9,08;HF;HF;HF
pr;137577;8,64;;HF;HF
ps;32384;6,7;;;
pt;34389;6,77;;;
pu;21985;6,23;;;
pv;2135;4,04;;;LF
pw;180;2,47;;;LF
px;5;0,66;LF;LF;LF
py;5208;4,82;;;LF
pz;20;1,22;;LF;LF
qa;4;0,57;LF;LF;LF
qd;4;0,57;LF;LF;LF
qe;5;0,66;LF;LF;LF
qg;2;0,22;LF;LF;LF
qi;5;0,66;LF;LF;LF
ql;11;0,99;LF;LF;LF
qm;2;0,22;LF;LF;LF
qn;2;0,22;LF;LF;LF
qo;7;0,81;LF;LF;LF
qp;2;0,22;LF;LF;LF
qq;1;0;LF;LF;LF
qr;3;0,42;LF;LF;LF
qs;3;0,42;LF;LF;LF
qt;1;0;LF;LF;LF
qu;3226;4,36;;;LF
qv;20;1,22;;LF;LF
qx;1;0;LF;LF;LF
qy;1;0;LF;LF;LF
ra;789749;9,85;HF;HF;HF
rä;143284;8,69;;HF;HF
rå;125524;8,53;;HF;HF
rb;48172;7,21;;;HF
rc;3221;4,35;;;LF
rd;119548;8,51;;HF;HF
re;524740;9,66;HF;HF;HF
ré;1210;3,66;;;LF
rf;36971;6,83;;;
rg;67260;7,66;;;HF
rh;18027;6,06;;;
ri;334972;9,34;HF;HF;HF
rj;52114;7,33;;;HF
rk;122615;8,52;;HF;HF
rl;67853;7,69;;;HF
rm;68499;7,74;;;HF
rn;191490;8,92;;HF;HF
ro;209646;8,99;;HF;HF
rö;60736;7,59;;;HF
rp;8477;5,3;;;
rq;15;1,13;;LF;LF
rr;55560;7,41;;;HF
rs;195776;8,93;;HF;HF
rt;230103;9,07;HF;HF;HF
ru;113392;8,38;;HF;HF
rv;33743;6,74;;;
rw;848;3,51;;;LF
rx;64;1,79;;LF;LF
ry;52587;7,35;;;HF
rz;29;1,46;;LF;LF
sa;306643;9,26;HF;HF;HF
sä;96170;8,2;;HF;HF
så;355290;9,39;HF;HF;HF
sb;14785;5,91;;;
sc;20967;6,2;;;
sd;13742;5,82;;;
se;308217;9,27;HF;HF;HF
sé;444;3,11;;;LF
sf;15856;5,94;;;
sg;5759;4,96;;;LF
sh;29401;6,6;;;
si;234863;9,1;HF;HF;HF
sj;59637;7,53;;;HF
sk;548530;9,67;HF;HF;HF
sl;104472;8,28;;HF;HF
sm;70364;7,79;;;HF
sn;71655;7,82;;;HF
so;458982;9,57;HF;HF;HF
sö;48680;7,23;;;HF
sp;101640;8,24;;HF;HF
sq;616;3,32;;;LF
sr;9497;5,38;;;
ss;207890;8,98;;HF;HF
st;738332;9,8;HF;HF;HF
su;50346;7,28;;;HF
sv;75675;7,89;;;HF
sw;1688;3,82;;;LF
sx;2;0,22;LF;LF;LF
sy;28531;6,55;;;
sz;144;2,34;;;LF
ta;700365;9,78;HF;HF;HF
tä;112356;8,37;;HF;HF
tå;43109;7,03;;;HF
tb;14307;5,89;;;
tc;6681;5,08;;;
td;3354;4,4;;;LF
te;920710;9,9;HF;HF;HF
té;939;3,55;;;LF
tf;23173;6,28;;;
tg;6021;5;;;LF
th;80367;7,96;;;HF
