bigram;freq;percentile_100;freq10;freq20;freq30_50
ou;114517;5,8;;;
ov;29193;4,3;;;LF
ow;3424516;9,6;HF;HF;HF
ox;9857;3,6;;;LF
oy;27572;4,3;;;LF
oz;908585;8,3;;HF;HF
pa;1879399;9,1;HF;HF;HF
pb;1467;2,2;;;LF
pc;89433;5,4;;;
pd;945;1,9;;LF;LF
pe;607531;7,9;;;HF
pf;1187;2,0;;;LF
pg;799;1,8;;LF;LF
ph;37981;4,6;;;LF
pi;1450674;8,9;;HF;HF
pj;329;1,4;;LF;LF
pk;39197;4,6;;;LF
pl;224077;6,5;;;
pm;2415;2,6;;;LF
pn;91922;5,5;;;
po;5174959;9,9;HF;HF;HF
pp;19450;4,1;;;LF
pq;28;0,4;LF;LF;LF
pr;4340339;9,7;HF;HF;HF
ps;188122;6,3;;;
pt;50615;4,8;;;LF
pu;293150;6,9;;;
pv;71;0,8;LF;LF;LF
pw;525;1,6;;LF;LF
px;72;0,8;LF;LF;LF
py;175909;6,2;;;
pz;421;1,5;;LF;LF
qa;605;1,7;;LF;LF
qb;190;1,1;;LF;LF
qc;12;0,1;LF;LF;LF
qd;14;0,2;LF;LF;LF
qe;146;1,1;;LF;LF
qf;2;0,0;LF;LF;LF
qg;22;0,3;LF;LF;LF
qh;20;0,3;LF;LF;LF
qi;978;1,9;;LF;LF
qj;0;0,0;LF;LF;LF
qk;7;0,1;LF;LF;LF
ql;34;0,5;LF;LF;LF
qm;37;0,5;LF;LF;LF
qn;28;0,4;LF;LF;LF
qo;45;0,6;LF;LF;LF
qp;10;0,1;LF;LF;LF
qq;26;0,4;LF;LF;LF
qr;84;0,9;LF;LF;LF
qs;81;0,8;LF;LF;LF
qt;84;0,9;LF;LF;LF
qu;685278;8,0;;HF;HF
qv;17;0,2;LF;LF;LF
qw;68;0,7;LF;LF;LF
qx;9;0,1;LF;LF;LF
qy;8;0,1;LF;LF;LF
qz;12;0,1;LF;LF;LF
ra;4263103;9,7;HF;HF;HF
rb;73461;5,2;;;
rc;258649;6,8;;;
rd;500568;7,5;;;HF
re;1103521;8,5;;HF;HF
rf;14994;4,0;;;LF
rg;111554;5,7;;;
rh;5948;3,2;;;LF
ri;434777;7,4;;;HF
rj;2011;2,4;;;LF
rk;225287;6,5;;;
rl;89568;5,4;;;
rm;178560;6,3;;;
rn;215602;6,5;;;
ro;3591958;9,6;HF;HF;HF
rp;57045;5,0;;;LF
rq;1180;2,0;;LF;LF
rr;93526;5,5;;;
rs;205415;6,4;;;
rt;418402;7,3;;;HF
ru;576332;7,7;;;HF
rv;12916;3,8;;;LF
rw;367524;7,2;;;HF
rx;471;1,5;;LF;LF
ry;1024028;8,4;;HF;HF
rz;4934980;9,8;HF;HF;HF
sa;801403;8,2;;HF;HF
sb;10873;3,7;;;LF
sc;359255;7,2;;;HF
sd;3742;3,0;;;LF
se;471090;7,5;;;HF
sf;14795;4,0;;;LF
sg;3177;2,9;;;LF
sh;126620;6,0;;;
si;3716732;9,7;HF;HF;HF
sj;60414;5,0;;;LF
sk;953436;8,4;;HF;HF
sl;61417;5,1;;;
sm;103291;5,6;;;
sn;183546;6,3;;;
so;590506;7,8;;;HF
sp;1203157;8,7;;HF;HF
sq;2636;2,7;;;LF
sr;15832;4,0;;;LF
ss;78250;5,3;;;
st;5745712;10,0;HF;HF;HF
su;391609;7,2;;;HF
sv;1955;2,4;;;LF
sw;257162;6,8;;;
sx;43;0,6;LF;LF;LF
sy;342590;7,1;;;HF
sz;6043775;10,0;HF;HF;HF
ta;4505374;9,8;HF;HF;HF
tb;4561;3,1;;;LF
tc;52661;4,9;;;LF
td;1280;2,0;;;LF
te;3293405;9,6;HF;HF;HF
tf;6248;3,3;;;LF
tg;2310;2,5;;;LF
th;164527;6,1;;;
ti;150224;6,1;;;
tj;1107;2,0;;LF;LF
tk;800606;8,2;;HF;HF
tl;54193;4,9;;;LF
tm;14646;3,9;;;LF
tn;395325;7,3;;;HF
to;4328819;9,7;HF;HF;HF
tp;20267;4,1;;;LF
tq;23;0,3;LF;LF;LF
tr;1743255;9,0;HF;HF;HF
ts;34946;4,5;;;LF
tt;92427;5,5;;;
tu;1069594;8,5;;HF;HF
tv;5771;3,2;;;LF
tw;938052;8,3;;HF;HF
tx;194;1,1;;LF;LF
ty;2117829;9,2;HF;HF;HF
tz;12135;3,8;;;LF
ua;67824;5,2;;;
ub;305165;6,9;;;
uc;692355;8,0;;HF;HF
ud;581503;7,7;;;HF
ue;35936;4,5;;;LF
uf;54021;4,9;;;LF
ug;222955;6,5;;;
uh;24000;4,2;;;LF
ui;31021;4,4;;;LF
uj;1084384;8,5;;HF;HF
uk;317651;7,0;;;HF
ul;235356;6,7;;;
um;533583;7,6;;;HF
un;307545;7,0;;;
uo;674158;8,0;;HF;HF
up;350098;7,1;;;HF
uq;684;1,8;;LF;LF
ur;540070;7,7;;;HF
us;1060869;8,5;;HF;HF
ut;518470;7,6;;;HF
uu;11806;3,7;;;LF
uv;3425;2,9;;;LF
uw;204863;6,4;;;
ux;3352;2,9;;;LF
uy;4771;3,2;;;LF
uz;128109;6,0;;;
va;50424;4,8;;;LF
vb;145;1,0;;LF;LF
vc;225;1,2;;LF;LF
vd;2428;2,6;;;LF
ve;102435;5,6;;;
vf;69;0,7;LF;LF;LF
vg;123;0,9;LF;LF;LF
vh;205;1,2;;LF;LF
vi;97096;5,6;;;
vj;20;0,3;LF;LF;LF
vk;228;1,2;;LF;LF
vl;2029;2,5;;;LF
vm;69;0,7;LF;LF;LF
vn;604;1,7;;LF;LF
vo;19581;4,1;;;LF
vp;270;1,3;;LF;LF
vq;3;0,0;LF;LF;LF
vr;1637;2,3;;;LF
vs;1318;2,1;;;LF
vt;132;1,0;LF;LF;LF
vu;1964;2,4;;;LF
vv;195;1,2;;LF;LF
vw;70;0,7;LF;LF;LF
vx;304;1,3;;LF;LF
vy;3742;3,0;;;LF
vz;123;0,9;LF;LF;LF
wa;2893617;9,5;HF;HF;HF
wb;11337;3,7;;;LF
wc;340245;7,1;;;HF
wd;462161;7,4;;;HF
we;788048;8,2;;HF;HF
wf;1192;2,0;;;LF
wg;2785;2,7;;;LF
wh;26520;4,2;;;LF
wi;5459187;9,9;HF;HF;HF
wj;3037;2,8;;;LF
wk;161248;6,1;;;
wl;21894;4,1;;;LF
wm;9650;3,6;;;LF
wn;645591;8,0;;;HF
wo;1508985;8,9;;HF;HF
wp;79590;5,3;;;
wq;18;0,2;LF;LF;LF
wr;326930;7,0;;;HF
ws;1042041;8,5;;HF;HF
wt;94469;5,5;;;
wu;112081;5,7;;;
wv;40;0,6;LF;LF;LF
ww;11475;3,7;;;LF
wx;24;0,3;LF;LF;LF
wy;1962887;9,1;HF;HF;HF
wz;106782;5,7;;;
xa;8565;3,5;;;LF
xb;304;1,3;;LF;LF
xc;975;1,9;;LF;LF
xd;71;0,8;LF;LF;LF
xe;5719;3,2;;;LF
xf;496;1,6;;LF;LF
xg;28;0,4;LF;LF;LF
xh;312;1,4;;LF;LF
xi;10636;3,6;;;LF
xj;25;0,4;LF;LF;LF
xk;34;0,5;LF;LF;LF
xl;924;1,9;;LF;LF
xm;315;1,4;;LF;LF
xn;131;1,0;LF;LF;LF
xo;3444;3,0;;;LF
xp;1542;2,2;;;LF
xq;3;0,0;LF;LF;LF
xr;38;0,6;LF;LF;LF
xs;220;1,2;;LF;LF
xt;4534;3,1;;;LF
xu;1648;2,3;;;LF
xv;3652;3,0;;;LF
xw;542;1,6;;LF;LF
xx;1956;2,4;;;LF
xy;3087;2,8;;;LF
xz;25;0,4;LF;LF;LF
ya;56215;4,9;;;LF
yb;469225;7,5;;;HF
yc;1188749;8,7;;HF;HF
yd;261632;6,8;;;
ye;35244;4,5;;;LF
yf;30547;4,4;;;LF
yg;299423;6,9;;;
yh;2424;2,6;;;LF
yi;9508;3,5;;;LF
yj;529622;7,6;;;HF
yk;447086;7,4;;;HF
yl;672751;8,0;;;HF
ym;1648262;8,9;;HF;HF
yn;639940;7,9;;;HF
yo;82043;5,3;;;
yp;244070;6,7;;;
yq;28;0,4;LF;LF;LF
yr;102966;5,6;;;
ys;1381487;8,8;;HF;HF
yt;427088;7,3;;;HF
yu;16253;4,0;;;LF
yv;1617;2,2;;;LF
yw;547624;7,7;;;HF
yx;238;1,2;;LF;LF
yy;2393;2,6;;;LF
yz;148558;6,1;;;
za;4163417;9,7;HF;HF;HF
zb;189709;6,3;;;
zc;578755;7,7;;;HF
zd;341836;7,1;;;HF
ze;5106993;9,9;HF;HF;HF
zf;158;1,1;;LF;LF
