id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
428,121,8,335,127,299.6,131.2,179
429,161,3,338,144,128.1,154.5,177.4
430,170,0,272,175.5,164.9,193.2,220.7
431,156,5,369,129,174.4,136.8,162.6
432,131,3,347,152,129.9,151.8,173.1
433,174,10,396,113,143.3,127.8,151.7
434,177,4,322,144,186.9,157,186.4
435,193,2,403,113,146.6,125.4,148.8
436,161,2,363,136,114.8,143.8,165.3
437,167,19,507,99,66.8,106.9,118.4
438,184,4,432,119,119.6,111.6,139
439,183,4,497,113,150.6,108.1,120.7
440,184,1,339,127.5,280.1,142.6,177
441,198,3,394,138,126.6,132,152.3
442,183,1,332,127,126.9,150.5,180.8
443,191,1,358,127,139.8,136.4,167.5
444,163,5,366,139,77.6,151.4,163.8
445,181,7,423,120,65.4,132.6,142
446,158,9,376,136,154.7,134.7,159.7
447,172,2,418,120.5,121.7,124.3,143.4
448,169,5,353,139,120.4,146.9,170
449,161,24,436,104,202.4,104.7,137.7
450,173,2,274,157,188,180.8,218.7
451,167,3,292,146,166.5,166.8,205.4
452,130,7,262,191,147.7,196.9,229.4
453,119,5,376,130,119.2,138.2,159.6
454,172,2,447,113.5,121.2,121.5,134.3
455,166,0,513,94.5,281.2,93.1,117
456,155,7,515,101,77.7,104.9,116.4
457,155,7,515,101,77.7,104.9,116.4
458,155,7,515,101,77.7,104.9,116.4
459,174,1,323,135,135.1,160.3,185.8
460,155,2,234,208,185.2,208.9,256
461,172,10,526,100,109.1,102.7,114.1
462,172,10,526,100,109.1,102.7,114.1
463,154,1,348,153.5,95.7,158.8,172.4
464,198,3,460,116.5,94.3,109,130.5
465,148,14,540,103,83.5,96.8,111
466,179,13,370,115,142.1,136.6,162.4
467,175,1,425,117,152.2,123.3,141.2
468,162,4,439,132.5,92.2,121.8,136.7
469,167,2,470,118,89.5,113.2,127.6
470,183,8,583,95,55.3,91.9,102.9
471,174,7,379,112,196,127.1,158.2
472,189,3,606,88,56.8,92.7,99.1
473,178,7,362,136,128,147,165.9
