bigram;adjacent;repetitive;hand
ww;0;1;LL
wx;0;0;LL
wy;0;0;LL
wz;0;0;
xa;0;0;LL
xb;0;0;
xc;1;0;LL
xd;1;0;LL
xe;0;0;LL
xf;0;0;LL
xg;0;0;
xh;0;0;
xi;0;0;LR
xj;0;0;LR
xk;0;0;LR
xl;0;0;LR
xm;0;0;LR
xn;0;0;LR
xo;0;0;LR
xp;0;0;LR
xq;0;0;LL
xr;0;0;LL
xs;1;0;LL
xt;0;0;
xu;0;0;LR
xv;0;0;LL
xw;0;0;LL
xx;0;1;LL
xy;1;0;LL
xz;0;0;
ya;1;0;LL
yb;0;0;
yc;0;0;LL
yd;0;0;LL
ye;0;0;LL
yf;0;0;LL
yg;1;0;
yh;1;0;
yi;0;0;LR
yj;0;0;LR
yk;0;0;LR
yl;0;0;LR
ym;0;0;LR
yn;0;0;LR
yo;0;0;LR
yp;0;0;LR
yq;0;0;LL
yr;0;0;LL
ys;1;0;LL
yt;0;0;
yu;1;0;LR
yv;0;0;LL
yw;0;0;LL
yx;1;0;LL
yy;0;1;LL
yz;1;0;
za;0;0;
zb;0;0;
zc;0;0;
zd;0;0;
ze;0;0;
zf;1;0;
zg;1;0;
zh;0;0;
zi;0;0;
zj;0;0;
zk;0;0;
zl;0;0;
zm;0;0;
zn;0;0;
zo;0;0;
zp;0;0;
zq;0;0;
zr;1;0;
zs;0;0;
zt;0;0;
zu;0;0;
zv;0;0;
zw;0;0;
zx;0;0;
zy;1;0;
zz;0;1;
ää;0;1;RR
