bigram;freq;percentile_100;freq10;freq20;freq30_50
qy;2;3;LF;LF;LF
qz;0;0;LF;LF;LF
ra;461185;89;;HF;HF
rb;8976;59;;;
rc;3101;51;;;
rd;21653;66;;;
re;213844;83;;HF;HF
rf;1566;44;;;LF
rg;22342;66;;;
rh;51581;72;;;HF
ri;641747;93;HF;HF;HF
rj;163169;80;;;HF
rk;255668;85;;HF;HF
rl;17311;64;;;
rm;62020;73;;;HF
rn;21065;66;;;
ro;232502;84;;HF;HF
rp;17710;64;;;
rq;105;18;;LF;LF
rr;75112;74;;;HF
rs;66959;73;;;HF
rt;165911;80;;;HF
ru;133477;78;;;HF
rv;134882;78;;;HF
rw;546;34;;;LF
rx;486;33;;;LF
ry;46592;71;;;HF
rz;686;37;;;LF
sa;1183839;97;HF;HF;HF
sb;2644;49;;;LF
sc;7756;58;;;
sd;5768;56;;;
se;1354205;99;HF;HF;HF
sf;1430;43;;;LF
sg;562;34;;;LF
sh;25435;67;;;
si;1605617;99;HF;HF;HF
sj;16657;64;;;
sk;342567;87;;HF;HF
sl;32643;69;;;
sm;45999;71;;;HF
sn;13306;62;;;
so;218676;84;;HF;HF
sp;42750;70;;;HF
sq;204;23;;;LF
sr;12729;62;;;
ss;786776;94;HF;HF;HF
st;1865151;99;HF;HF;HF
su;465906;90;;HF;HF
sv;57083;72;;;HF
sw;1336;42;;;LF
sx;42;12;;LF;LF
sy;161876;79;;;HF
sz;454;32;;;LF
ta;2387785;100;HF;HF;HF
tb;801;38;;;LF
tc;988;40;;;LF
td;383;30;;;LF
te;1233540;98;HF;HF;HF
tf;265;26;;;LF
tg;523;33;;;LF
th;19166;65;;;
ti;1116481;97;HF;HF;HF
tj;3061;50;;;
tk;190735;81;;HF;HF
tl;5205;55;;;
tm;4186;53;;;
tn;3504;51;;;
to;756024;94;HF;HF;HF
tp;2434;48;;;LF
tq;5;4;LF;LF;LF
tr;46136;71;;;HF
ts;182818;81;;HF;HF
tt;1588427;99;HF;HF;HF
tu;1002850;96;HF;HF;HF
tv;8936;59;;;
tw;823;39;;;LF
tx;108;18;;LF;LF
ty;456276;89;;HF;HF
tz;2273;48;;;LF
ua;122089;76;;;HF
ub;6313;56;;;
uc;2172;48;;;LF
ud;158833;79;;;HF
ue;75829;74;;;HF
uf;974;40;;;LF
ug;5215;55;;;
uh;148242;78;;;HF
ui;294385;86;;HF;HF
uj;48369;71;;;HF
uk;466381;90;;HF;HF
ul;425675;89;;HF;HF
um;127418;77;;;HF
un;606987;92;HF;HF;HF
uo;634480;92;HF;HF;HF
up;95916;75;;;HF
uq;31;11;;LF;LF
ur;275705;85;;HF;HF
us;665181;93;HF;HF;HF
ut;788649;95;HF;HF;HF
uu;657050;93;HF;HF;HF
uv;167543;80;;HF;HF
uw;1602;45;;;LF
ux;849;39;;;LF
uy;1697;45;;;LF
uz;831;39;;;LF
va;1251286;98;HF;HF;HF
vb;4;4;LF;LF;LF
vc;49;13;;LF;LF
vd;239;25;;;LF
ve;226893;84;;HF;HF
vf;37;11;;LF;LF
vg;247;25;;;LF
vh;135;20;;;LF
vi;529626;91;HF;HF;HF
vj;230;25;;;LF
vk;594;35;;;LF
vl;1610;45;;;LF
vm;780;38;;;LF
vn;293;27;;;LF
vo;255850;85;;HF;HF
vp;582;35;;;LF
vq;3;4;LF;LF;LF
vr;1247;42;;;LF
vs;1990;47;;;LF
vt;1114;41;;;LF
vu;209526;83;;HF;HF
vv;249;25;;;LF
vw;70;15;;LF;LF
vx;3;4;LF;LF;LF
vy;18233;65;;;
vz;27;9;LF;LF;LF
wa;11201;61;;;
wb;235;25;;;LF
wc;332;28;;;LF
wd;46;13;;LF;LF
we;5762;56;;;
wf;190;23;;;LF
wg;26;9;LF;LF;LF
wh;880;40;;;LF
wi;8070;58;;;
wj;3;4;LF;LF;LF
wk;205;24;;;LF
wl;176;22;;;LF
wm;140;20;;;LF
wn;797;38;;;LF
wo;3165;51;;;
wp;57;14;;LF;LF
wq;0;0;LF;LF;LF
wr;484;32;;;LF
ws;1641;45;;;LF
wt;343;29;;;LF
wu;315;28;;;LF
wv;8;6;LF;LF;LF
ww;438;32;;;LF
wx;0;0;LF;LF;LF
wy;648;36;;;LF
wz;0;0;LF;LF;LF
xa;555;34;;;LF
xb;69;15;;LF;LF
xc;118;19;;LF;LF
xd;132;20;;LF;LF
xe;804;38;;;LF
xf;174;22;;;LF
xg;26;9;LF;LF;LF
xh;50;13;;LF;LF
xi;2435;49;;;LF
xj;57;14;;LF;LF
xk;69;15;;LF;LF
xl;114;18;;LF;LF
xm;84;16;;LF;LF
xn;37;11;;LF;LF
xo;446;32;;;LF
xp;495;33;;;LF
xq;0;0;LF;LF;LF
xr;23;8;LF;LF;LF
xs;50;13;;LF;LF
xt;363;29;;;LF
xu;129;20;;LF;LF
xv;99;17;;LF;LF
xw;26;9;LF;LF;LF
xx;101;17;;LF;LF
xy;45;12;;LF;LF
xz;0;0;LF;LF;LF
ya;4259;53;;;
yb;464;32;;;LF
yc;1315;42;;;LF
yd;51414;72;;;HF
ye;9230;59;;;
yf;301;27;;;LF
yg;712;37;;;LF
yh;171471;80;;HF;HF
yi;79459;74;;;HF
yj;10356;60;;;
yk;163084;80;;;HF
yl;151080;79;;;HF
ym;108975;75;;;HF
yn;122544;77;;;HF
yo;4364;53;;;
yp;16645;64;;;
yq;29;10;;LF;LF
yr;64152;73;;;HF
ys;206328;82;;HF;HF
yt;339313;87;;;HF
yu;408;31;;;LF
yv;104861;75;;;HF
yw;758;38;;;LF
yx;19;7;LF;LF;LF
yy;149444;79;;;HF
yz;136;20;;;LF
za;3944;53;;;
zb;251;26;;;LF
zc;19;7;LF;LF;LF
zd;541;34;;;LF
ze;3188;51;;;
zf;27;9;LF;LF;LF
zg;56;14;;LF;LF
zh;2307;48;;;LF
zi;3100;51;;;
zj;157;21;;;LF
zk;424;31;;;LF
zl;475;32;;;LF
zm;172;22;;;LF
zn;434;31;;;LF
zo;1200;42;;;LF
zp;47;13;;LF;LF
zq;12;7;LF;LF;LF
zr;60;14;;LF;LF
zs;271;26;;;LF
zt;192;23;;;LF
zu;873;39;;;LF
zv;96;17;;LF;LF
zw;97;17;;LF;LF
zx;19;7;LF;LF;LF
zy;718;37;;;LF
zz;1525;44;;;LF
