bigram;freq;percentile_100;freq10;freq20;freq30-50
it;393456;9,5;HF;HF;HF
iu;2047;4,0;;;LF
iv;119417;8,5;;HF;HF
iw;146;2,4;;;LF
ix;11207;5,6;;;
iy;117;2,2;;;LF
iz;2888;4,3;;;LF
ja;557787;9,7;HF;HF;HF
jä;95270;8,2;;HF;HF
jå;77;2,0;;LF;LF
jb;294;2,9;;;LF
jc;15;1,1;;LF;LF
jd;11609;5,6;;;
je;63729;7,6;;;HF
jé;148;2,4;;;LF
jf;234;2,7;;;LF
jg;250;2,8;;;LF
jh;73;1,9;;LF;LF
ji;1440;3,8;;;LF
jj;436;3,1;;;LF
jk;3588;4,5;;;LF
jl;11824;5,6;;;
jm;484;3,2;;;LF
jn;1521;3,8;;;LF
jo;82349;8,0;;HF;HF
jö;15651;5,9;;;
jp;958;3,6;;;LF
jq;2;0,2;LF;LF;LF
jr;153;2,4;;;LF
js;3957;4,6;;;LF
jt;3828;4,5;;;LF
ju;157458;8,8;;HF;HF
jv;217;2,7;;;LF
jw;4;0,6;LF;LF;LF
jy;140;2,3;;;LF
jz;2;0,2;LF;LF;LF
ka;660298;9,8;HF;HF;HF
kä;92301;8,1;;HF;HF
kå;6325;5,0;;;
kb;3862;4,5;;;LF
kc;766;3,5;;;LF
kd;3400;4,5;;;LF
ke;327615;9,3;HF;HF;HF
ké;191;2,5;;;LF
kf;4485;4,7;;;LF
kg;4571;4,7;;;LF
kh;5030;4,8;;;LF
ki;64668;7,7;;;HF
kj;4192;4,6;;;LF
kk;2633;4,2;;;LF
kl;156198;8,8;;HF;HF
km;4013;4,6;;;LF
kn;58074;7,5;;;HF
ko;305735;9,2;HF;HF;HF
kö;67800;7,7;;;HF
kp;4898;4,8;;;LF
kq;21;1,3;;LF;LF
kr;118537;8,5;;HF;HF
ks;79307;7,9;;;HF
kt;267643;9,2;HF;HF;HF
ku;114456;8,4;;HF;HF
kv;56159;7,4;;;HF
kw;43;1,6;;LF;LF
kx;3;0,4;LF;LF;LF
ky;17805;6,0;;;
kz;100;2,1;;;LF
la;564937;9,7;HF;HF;HF
lä;181546;8,9;;HF;HF
lå;59469;7,5;;;HF
lb;22688;6,3;;;
lc;733;3,4;;;LF
ld;136185;8,6;;HF;HF
le;415806;9,5;HF;HF;HF
lé;989;3,6;;;LF
lf;13578;5,8;;;
lg;20566;6,1;;;
lh;4681;4,7;;;LF
li;613943;9,7;HF;HF;HF
lj;70002;7,8;;;HF
lk;52292;7,3;;;HF
ll;890485;9,9;HF;HF;HF
lm;17890;6,1;;;
ln;26512;6,4;;;
lo;125704;8,6;;HF;HF
lö;43711;7,1;;;HF
lp;19016;6,1;;;
lq;4;0,6;LF;LF;LF
lr;10668;5,5;;;
ls;116671;8,4;;HF;HF
lt;181235;8,9;;HF;HF
lu;83618;8,0;;HF;HF
lv;60026;7,6;;;HF
lw;636;3,4;;;LF
lx;6;0,8;LF;LF;LF
ly;56428;7,5;;;HF
lz;49;1,7;;LF;LF
ma;409478;9,5;HF;HF;HF
mä;45764;7,1;;;HF
må;102328;8,3;;HF;HF
mb;22125;6,3;;;
mc;197;2,6;;;LF
md;8145;5,2;;;
me;669201;9,8;HF;HF;HF
mé;541;3,2;;;LF
mf;13009;5,7;;;
mg;6933;5,1;;;
mh;10175;5,5;;;
mi;351395;9,4;HF;HF;HF
mj;10659;5,5;;;
mk;6337;5,1;;;
ml;31439;6,6;;;
mm;251643;9,2;HF;HF;HF
mn;38195;6,9;;;
mo;115206;8,4;;HF;HF
mö;39121;6,9;;;
mp;45598;7,1;;;HF
mq;6;0,8;LF;LF;LF
mr;10224;5,5;;;
ms;28345;6,5;;;
mt;49460;7,3;;;HF
mu;23601;6,3;;;
mv;2756;4,2;;;LF
mw;94;2,1;;;LF
mx;2;0,2;LF;LF;LF
my;73414;7,9;;;HF
mz;8;0,9;LF;LF;LF
na;562362;9,7;HF;HF;HF
nä;130861;8,6;;HF;HF
nå;101905;8,3;;HF;HF
nb;13040;5,8;;;
nc;20851;6,2;;;
nd;486260;9,6;HF;HF;HF
ne;269236;9,2;HF;HF;HF
né;242;2,7;;;LF
nf;28192;6,5;;;
ng;523622;9,6;HF;HF;HF
nh;13142;5,8;;;
ni;253973;9,2;HF;HF;HF
nj;12202;5,6;;;
nk;95468;8,2;;HF;HF
nl;49238;7,3;;;HF
nm;6282;5,0;;;
nn;319981;9,3;HF;HF;HF
no;106647;8,3;;HF;HF
nö;19740;6,1;;;
np;6151;5,0;;;
nq;34;1,6;;LF;LF
nr;8166;5,2;;;
ns;337862;9,4;HF;HF;HF
nt;467703;9,6;HF;HF;HF
nu;107153;8,3;;HF;HF
nv;27545;6,5;;;
nw;194;2,5;;;LF
nx;64;1,8;;LF;LF
ny;73622;7,9;;;HF
nz;358;3,0;;;LF
oa;10657;5,5;;;
oä;1857;3,9;;;LF
oå;192;2,5;;;LF
öa;1343;3,7;;;LF
öä;34;1,6;;LF;LF
öå;4;0,6;LF;LF;LF
ob;58001;7,5;;;HF
öb;2201;4,1;;;LF
oc;781842;9,8;HF;HF;HF
öc;4265;4,6;;;LF
od;71516;7,8;;;HF
öd;29838;6,6;;;
oe;7756;5,2;;;
oé;1;0,0;LF;LF;LF
öe;831;3,5;;;LF
of;49610;7,3;;;HF
öf;1806;3,9;;;LF
og;98649;8,2;;HF;HF
ög;27844;6,5;;;
oh;4868;4,7;;;LF
öh;284;2,8;;;LF
oi;5566;4,9;;;LF
öi;172;2,5;;;LF
oj;10499;5,5;;;
öj;28764;6,6;;;
ok;54137;7,4;;;HF
ök;45721;7,1;;;HF
ol;166918;8,8;;HF;HF
öl;26495;6,4;;;
om;788745;9,8;HF;HF;HF
öm;20668;6,2;;;
on;326600;9,3;HF;HF;HF
ön;47076;7,2;;;HF
oo;23156;6,3;;;
oö;246;2,7;;;LF
öo;214;2,6;;;LF
öö;1254;3,7;;;LF
op;97610;8,2;;HF;HF
öp;33905;6,8;;;
oq;25;1,3;;LF;LF
or;457716;9,6;HF;HF;HF
ör;627449;9,7;HF;HF;HF
os;114836;8,4;;HF;HF
ös;31654;6,7;;;
ot;170129;8,8;;HF;HF
öt;46416;7,1;;;HF
ou;37824;6,9;;;
öu;30;1,5;;LF;LF
ov;55238;7,4;;;HF
öv;85231;8,1;;HF;HF
ow;15090;5,9;;;
öw;7;0,8;LF;LF;LF
ox;5792;5,0;;;LF
öx;2;0,2;LF;LF;LF
oy;1306;3,7;;;LF
öy;17;1,2;;LF;LF
oz;641;3,4;;;LF
öz;1;0,0;LF;LF;LF
pa;188112;8,9;;HF;HF
pä;9619;5,4;;;
på;418590;9,5;HF;HF;HF
pb;1978;4,0;;;LF
pc;1189;3,7;;;LF
pd;4872;4,8;;;LF
pe;160332;8,8;;HF;HF
pé;124;2,2;;;LF
pf;5097;4,8;;;LF
pg;6495;5,1;;;
ph;4233;4,6;;;LF
pi;41282;7,0;;;
pj;695;3,4;;;LF
pk;1236;3,7;;;LF
pl;76671;7,9;;;HF
pm;3473;4,5;;;LF
pn;14016;5,9;;;
po;63709;7,6;;;HF
pö;1362;3,7;;;LF
pp;231445;9,1;HF;HF;HF
pr;137577;8,6;;HF;HF
ps;32384;6,7;;;
pt;34389;6,8;;;
pu;21985;6,2;;;
pv;2135;4,0;;;LF
pw;180;2,5;;;LF
px;5;0,7;LF;LF;LF
py;5208;4,8;;;LF
pz;20;1,2;;LF;LF
qa;4;0,6;LF;LF;LF
qd;4;0,6;LF;LF;LF
qe;5;0,7;LF;LF;LF
qg;2;0,2;LF;LF;LF
qi;5;0,7;LF;LF;LF
ql;11;1,0;LF;LF;LF
qm;2;0,2;LF;LF;LF
qn;2;0,2;LF;LF;LF
qo;7;0,8;LF;LF;LF
qp;2;0,2;LF;LF;LF
qq;1;0,0;LF;LF;LF
qr;3;0,4;LF;LF;LF
qs;3;0,4;LF;LF;LF
qt;1;0,0;LF;LF;LF
qu;3226;4,4;;;LF
qv;20;1,2;;LF;LF
qx;1;0,0;LF;LF;LF
qy;1;0,0;LF;LF;LF
ra;789749;9,9;HF;HF;HF
rä;143284;8,7;;HF;HF
rå;125524;8,5;;HF;HF
rb;48172;7,2;;;HF
rc;3221;4,4;;;LF
rd;119548;8,5;;HF;HF
re;524740;9,7;HF;HF;HF
ré;1210;3,7;;;LF
rf;36971;6,8;;;
rg;67260;7,7;;;HF
rh;18027;6,1;;;
ri;334972;9,3;HF;HF;HF
rj;52114;7,3;;;HF
rk;122615;8,5;;HF;HF
rl;67853;7,7;;;HF
rm;68499;7,7;;;HF
rn;191490;8,9;;HF;HF
ro;209646;9,0;;HF;HF
rö;60736;7,6;;;HF
rp;8477;5,3;;;
rq;15;1,1;;LF;LF
rr;55560;7,4;;;HF
rs;195776;8,9;;HF;HF
rt;230103;9,1;HF;HF;HF
ru;113392;8,4;;HF;HF
rv;33743;6,7;;;
rw;848;3,5;;;LF
rx;64;1,8;;LF;LF
ry;52587;7,4;;;HF
rz;29;1,5;;LF;LF
sa;306643;9,3;HF;HF;HF
sä;96170;8,2;;HF;HF
så;355290;9,4;HF;HF;HF
sb;14785;5,9;;;
sc;20967;6,2;;;
sd;13742;5,8;;;
se;308217;9,3;HF;HF;HF
sé;444;3,1;;;LF
sf;15856;5,9;;;
sg;5759;5,0;;;LF
sh;29401;6,6;;;
