id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
2384,114,1,463,128,17.1,128.4,129.5
2385,157,0,629,96,14.9,94.1,95.4
2386,138,7,608,102.5,39.5,90.3,98.6
2387,147,0,589,104,14.5,100.9,101.9
2388,154,0,617,95.5,22.9,94.6,97.3
2389,173,0,697,91,21.7,82.9,86.1
2390,146,0,587,111.5,33.3,96.3,102.2
2391,163,0,652,95,22.8,88.8,92
2392,150,0,601,101,34.4,93.8,99.9
2393,76,1,395,98.5,213.8,118.3,152
2394,152,14,716,81,35.1,75.7,83.8
2395,159,0,639,93,13.1,92.9,93.9
2396,123,1,500,115,34.4,115.1,120
2397,130,4,551,112,38.5,101.1,108.8
2398,106,3,478,124.5,40.9,117.8,125.4
2399,143,2,590,96,29.2,97.6,101.7
2400,115,11,521,105,122.5,99.8,115.2
2401,102,7,447,133,47.2,124.8,134.2
2402,136,18,678,89.5,33.4,81.6,88.4
2403,142,0,570,112,23.2,102.8,105.3
2404,141,0,567,104,22.5,103.5,105.8
2405,137,0,551,111,15.8,107.6,108.9
2406,130,0,522,112,42.4,110.7,114.9
2407,138,10,629,97.5,39.2,86.6,95.4
2408,110,0,443,135,17.8,134.2,135.3
2409,156,6,670,91,22.5,86.4,89.6
2410,130,3,526,97,137.8,99.3,114.2
2411,150,0,603,96,24.2,96.3,99.6
2412,132,3,606,103.5,21,96.3,99
2413,148,2,606,94.5,25.5,95.9,99
2414,142,4,643,90,27.2,89.1,93.3
2415,115,2,477,112,87.6,114.3,125.9
2416,105,2,429,123,112.1,127.3,139.8
2417,30,0,424,140,27.2,139,141.4
2418,100,0,405,146.5,24.5,145.8,148.1
2419,134,10,619,95.5,35.8,89.5,97
2420,163,2,670,90,22.6,86.6,89.5
2421,153,7,678,86,32.5,82.1,88.4
2422,137,0,548,115,34,103.8,109.5
2423,123,3,511,114,32.7,112.8,117.5
2424,103,1,420,111,270.8,108.2,142.7
2425,163,0,653,90,10.9,91.1,91.8
2426,118,0,476,128,18,125,126.2
2427,120,0,483,128,25.8,121.1,124.2
2428,57,0,647,95,12.3,91.9,92.8
2429,141,1,568,105,15.4,104.5,105.7
2430,123,4,523,119,23.5,112.1,114.7
2431,188,0,754,80,21.5,76.6,79.6
2432,127,2,526,106,31.7,109.8,114
2433,91,3,443,114,197.7,99.5,135.4
2434,125,0,502,118,21.8,117.6,119.6
2435,133,3,556,109,29.6,103.2,107.8
2436,137,1,555,112,29.8,103,108.1
2437,125,1,490,114,92.9,111.8,122.3
2438,142,1,568,105,30.6,100.9,105.7
2439,150,0,602,96,32,94.4,99.7
2440,109,2,499,105,77.8,112.4,120.3
2441,112,16,651,86.5,77.3,79.3,92.1
2442,144,2,594,103,27.1,97.2,100.9
2443,86,1,371,151.5,47.2,155.3,161.7
2444,104,4,471,112,62.4,116.1,127.4
2445,151,2,626,93,29.6,90.8,95.8
2446,177,3,736,80,23.1,78,81.5
2447,165,0,668,89,20.1,87.3,89.8
2448,141,2,581,102,30.2,98.4,103.3
2449,148,3,623,90,98.5,85.3,96.3
2450,149,0,601,100,16.4,98.5,99.9
2451,81,4,357,184,101.9,140.1,168.1
2452,66,1,393,126.5,157.8,134.2,152.9
2453,127,1,517,107,37.2,111.4,115.9
2454,128,0,512,112,56.9,112,117.1
2455,100,4,416,112,206.4,110.8,144.2
2456,149,0,598,99,22.1,98.1,100.4
2457,137,2,567,106,28.3,102.1,105.9
2458,62,45,637,81,34.1,87.8,94.2
2459,171,0,685,86,21.5,84.8,87.7
2460,148,0,592,101.5,12.3,100.6,101.3
2461,110,0,442,133,24.9,133.4,135.6
2462,132,0,529,112,14.6,112.4,113.3
2463,44,1,458,108.5,53.6,120.3,131.1
2464,114,4,592,101.5,23.9,98.3,101.4
2465,40,0,337,117.5,254.4,132.6,178.3
2466,129,0,517,116,46.9,111.1,116
2467,127,0,510,111,36.1,112,117.7
2468,145,0,582,111,35.2,96.5,103.2
2469,122,9,551,104.5,87.9,89.2,108.9
2470,133,1,540,110,20.5,109.2,111.1
2471,140,0,562,108,18.7,105.1,106.7
2472,153,1,624,96,39.3,87,96.2
2473,195,0,781,75,19.4,74.2,76.8
2474,160,4,682,96,31.8,81.5,88
2475,184,7,791,79,24.9,71.7,75.9
2476,136,17,676,84.5,35.4,81.2,88.7
2477,178,2,733,81,19.8,79.4,81.9
2478,196,3,810,79,28.3,68.4,74
2479,163,10,741,79,38.9,73.6,81
2480,153,3,633,96,18,92.7,94.7
2481,149,6,656,85,35.9,84.3,91.5
2482,126,2,519,116,23.4,112.9,115.6
2483,95,0,384,152,15.8,155.5,156.3
2484,139,0,558,114,21.6,105.3,107.5
2485,135,0,543,113,25.9,107.3,110.5
2486,106,1,430,139.5,23.8,137.4,139.5
2487,157,8,688,87,32.3,80.7,87.2
2488,101,0,407,147,19.5,146,147.3
2489,165,0,660,95,25.3,87,90.9
2490,162,2,669,86,26.7,85.7,89.7
2491,163,4,685,83,30.1,82.4,87.6
2492,171,3,715,80,27.1,79.5,83.9
2493,172,4,730,80,27.2,78.1,82.2
2494,171,3,709,80,27.1,80.5,84.7
2495,139,1,566,108,21.9,103.8,106.1
2496,137,0,549,107,14.1,108.4,109.2
2497,102,0,409,107,176.8,118.8,146.7
2498,120,0,483,117,76.9,116.1,124.2
2499,163,0,654,95,23,88.8,91.7
2500,152,0,612,96.5,14.3,97.1,98.1
2501,119,1,482,125,24.5,121.7,124.4
2502,149,0,599,104,26.3,96.4,100.2
2503,142,5,621,96,58,85.7,96.6
2504,101,1,411,107,178.4,114.8,146.1
2505,137,0,551,104,36.6,102.4,108.9
2506,47,3,237,159,568.1,163.9,253.2
2507,133,2,553,112,30.1,103.8,108.6
2508,161,4,671,88,17,87.7,89.4
2509,110,0,446,139,37.7,128.4,134.6
2510,158,0,632,96,13.6,94,94.9
2511,130,0,522,111,32.4,110.5,115
2512,99,0,398,119,122.9,119.7,150.8
2513,159,0,637,96,20.7,91.9,94.2
2514,52,0,209,283,238.6,228.6,286.6
2515,146,2,600,104.5,19.4,97.9,100
2516,143,0,576,105,11.4,103.6,104.2
2517,130,1,532,112.5,23.6,110.2,112.8
2518,128,1,523,115,21.2,112.6,114.6
2519,136,0,546,109.5,17.9,108.4,109.9
2520,154,3,621,99.5,32,91.8,96.5
2521,60,6,497,112.5,60.8,109,120.7
2522,29,0,209,288,172.4,240.4,286.7
2523,125,2,514,115,27.7,113,116.7
2524,136,0,546,111,25.2,106.9,109.9
2525,104,1,426,148,34.3,136.5,141
2526,166,4,707,85,28.6,79.8,84.9
2527,161,9,737,84,27.9,76.3,81.5
2528,144,8,656,92,26.3,87.2,91.4
2529,99,0,444,128,45.4,128.9,135.1
2530,164,1,665,88.5,23.5,87.1,90.2
2531,146,0,585,102,14,101.5,102.5
2532,130,0,522,127,29.7,111,115
2533,125,6,707,83,28.7,79.6,84.8
2534,140,0,563,106,21.2,104.4,106.6
2535,167,0,670,87,19.2,87.8,89.5
2536,149,10,669,95,31,83.7,89.7
2537,140,15,676,88,33.4,81.8,88.7
2538,117,10,539,112,46.3,99.6,111.3
2539,44,1,378,149.5,38.8,154.2,158.7
2540,102,4,430,104.5,250.4,108.6,139.4
2541,161,0,627,97,10.2,95.1,95.7
2542,115,1,467,127,41.5,122,128.4
2543,141,2,579,99,23.5,101.1,103.6
2544,137,2,560,110,28.6,102.9,107.2
2545,130,3,547,96,45.9,99.4,109.6
2546,125,0,503,112,127.8,106.4,119.3
2547,147,0,590,104,28.8,97.2,101.7
2548,147,0,591,103,25.3,99.2,101.5
2549,166,1,671,88,22.7,86.4,89.4
2550,161,4,674,86,22.9,86.2,89
2551,27,0,233,262,40.3,254.3,257.7
2552,159,5,671,95,24.5,85.7,89.4
2553,148,8,653,94.5,29,87.2,91.9
2554,160,0,619,90,50.6,91.5,97
2555,127,3,541,80,95.9,94.3,111
2556,156,5,669,95,31.5,83.7,89.7
2557,32,1,251,198,161.5,213.6,238.8
2558,110,0,442,136.5,20.3,134.1,135.8
2559,140,1,569,104,18.1,103.8,105.4
2560,81,0,526,113,29.2,110.2,114
2561,161,0,646,94,19.3,90.8,92.9
2562,105,2,433,99,190.3,100.9,138.6
2563,151,6,655,88,29.4,86.6,91.6
2564,188,0,753,80,16.3,78,79.7
2565,138,1,564,96,80.5,99.5,106.3
2566,107,24,590,100,42,91.8,101.6
2567,107,7,470,120,145.7,110,127.8
2568,113,10,508,120,37.3,111.3,118.2
2569,140,16,661,81,86.7,77.4,90.8
2570,119,5,545,109,23.3,107.4,110.1
2571,27,0,296,182,118.3,187.5,202.9
2572,120,3,505,120,36.7,112.6,118.9
2573,127,9,558,104,29.7,103.9,107.5
2574,126,3,526,112,32.4,108.8,114.1
2575,132,0,520,116,17.5,114,115.4
2576,161,0,645,96,22.1,90.3,93
2577,152,3,631,95,24.5,91.7,95
2578,136,8,603,105,31.5,94,99.5
2579,118,3,500,120,44.2,111.2,120
2580,136,0,545,111,17.1,108.8,110.1
2581,143,4,609,94,35.3,92.1,98.6
2582,133,0,535,114,26.6,108.8,112.1
2583,120,1,488,121.5,19.4,121.3,122.8
2584,57,0,222,189,232.8,215.8,269.7
2585,182,3,757,79,19.7,76.7,79.2
2586,187,2,756,80,11.5,78.5,79.3
2587,158,4,669,89,28.1,85.3,89.6
2588,189,1,767,80,19.6,75.8,78.3
2589,124,0,497,112,50.8,113,120.6
2590,143,0,573,100,25.3,101.7,104.7
2591,125,0,502,116,16.3,118.5,119.6
